"year","start","end","high","low"
2009,NA,62.01,62.01,61.8
2010,62.01,64.21,65.25,62.01
2011,64.23,61.07,68.37,61.05
2012,61.04,69,69.02,60.74
2013,69.04,71.67,72.09,68.86
2014,71.67,73.04,73.04,71.67
2015,73.05,76.61,76.62,73.05
2016,76.62,80.27,80.27,76.62
2017,80.28,83.41,83.42,80.28
2018,83.43,75.46,83.76,72.97
2019,75.51,79.71,80.56,75.51
2020,79.83,78.11,80.77,74.86
2021,78.09,81.68,86.39,77.97
2022,81.67,86.14,86.37,81.67
2023,86.14,86.14,86.72,85.87
2024,86.18,81.09,86.33,80
2025,81.09,81.59,81.59,80.86
2026,81.59,82.24,82.24,81.59
